NAME,DT,ID_RSSD,RISK2170,RISKB989,RISKM334,RISKM335,RISKM336,RISKM337,RISKM338,RISKM339,RISKM340,RISKM341,RISKM342,RISKM343,RISKM344,RISKM718,RISKM346,RISKM347,RISKM348,RISKM349,RISKM350,RISKM351,RISKJ458,RISKM352,RISKM353,RISKM354,RISKM345,RISKM355,RISKM356,RISKM357,RISKM358,RISKM359,RISKM360,RISKM361,RISKM362,RISKM363,RISKM364,RISKM365,RISKM366,RISKM367,RISKM368,RISKM369,RISKM370,RISKM371,RISKM372,RISKM373,RISK2309,RISKM374,RISKM375,RISKM376,RISKM377,RISKM378,RISKM379,RISKM380,RISKM381,RISKM382,RISKM383,RISKM384,RISKM385,RISKM386,RISKM387,RISKM388,RISKM389,RISKM390,RISKM405,RISKM406,RISKM407,RISKM408,RISKM409,RISKM410,RISKM411,RISKM412,RISKM413,RISK1773,RISKM414,RISKM415,RISKM416,RISKM417,RISKM418,RISKM419,RISKM420,RISKM421,RISK1754,RISKG506,RISKM422,RISKM423,RISKM424,RISKM425,RISKM426,RISK2948,RISKM427,RISKM428,RISKM429,RISKM430,RISKM431,RISKM432,RISKM433,RISKM434,RISKM435,RISKM436,RISKM437,RISKC490,RISKJ196,RISK8901,RISK8902,RISK9116,RISK4086,RISKN506,RISKN507,RISKN508,RISKN509,RISKN510,RISKN511,RISKN255
----,--,-------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
BANCWEST CORPORATION                                                                                                    ,20131231,1025608,83527474,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,102647429,480932,48527,0,42787,0,0,0,259036,0,0,38782,18943,<NULL>,889007,947603,1598466,5126599,0,145719,16440,<NULL>,7834827,0,43084,100000,0,11407258,0,11550342,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,42170,443211741,2774232,0,0,0,343106,15436734,15779840,6499,<NULL>,12596759,12603258,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,86228,504000,1640185,990472,0,649713,71651370,32621934,2833546,-236,3165474,0,0,0,314193,322717,0,2,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,1220223
ZIONS BANCORPORATION                                                                                                    ,20131231,1027004,56031127,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,75164968,1110176,145413,1303086,0,22323,0,139792,0,0,0,6657,19465,<NULL>,2607120,325286,2138242,0,0,28025,9064,<NULL>,2500617,0,1454779,791608,0,2593037,5532944,10865666,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,409981,437011292,2848606,0,231550,231550,262251,2786389,3048640,100316,<NULL>,3701886,3802202,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,588981,1387287,86000,1954228,0,0,1954228,49566564,19205903,2206463,0,2451528,5747046,0,0,55446,54689,0,2,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,493298,<NULL>,<NULL>,2522819
DEUTSCHE BANK TRUST CORPORATION                                                                                         ,20131231,1032473,66926000,15200000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,63609000,18784000,960000,0,0,0,0,0,0,0,0,0,0,<NULL>,19744000,3471000,22375000,0,0,0,0,<NULL>,25846000,0,0,151000,11668000,0,0,11819000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,58495158000,0,0,0,0,0,14406000,14406000,371000,<NULL>,141000,512000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,131000,3983000,3000,3000,49000,49000,59870000,22811000,2430000,-6000,2611000,0,15200000,0,51000,30000,0,10,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,52000
M&T BANK CORPORATION                                                                                                    ,20131231,1037003,85162391,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,104645236,1015866,693813,0,2768,109912,0,745,14011,0,0,183539,49825,<NULL>,2069734,995021,2334930,30000,1400000,192216,31104,<NULL>,4983271,0,802479,2847055,0,2721610,15200214,21928216,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,108327,1594474130,100836317,0,25845374,25845374,1374503,20033755,21408258,34050,<NULL>,4531260,4565310,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,3966130,72549,272875,332839,332839,30274,30274,73856859,38034788,4425921,31316,4710026,15499468,0,1491799,414263,254189,0,9,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,356858,<NULL>,<NULL>,587514
JPMORGAN CHASE & CO.                                                                                                    ,20131231,1039502,2415689000,359150000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,2699934000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,3569551800,80757000,44077000,17747000,27386000,2329000,1073000,940000,13404000,814000,32728000,21984000,181292000,<NULL>,421963000,80231000,260821000,0,44506000,20579000,138121000,<NULL>,544258000,40070000,177536000,35023000,72740000,43206000,219657000,598997000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,18348303000,321458431000,21320085000,68576000,439158000,507734000,34289023000,33714639000,68003662000,376618000,<NULL>,328936000,705554000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,24026000,69310000,692557000,710927000,181693000,144500000,673734000,2204024000,515743000,96517000,24916000,105867000,219657000,871455000,882127000,1180467000,1160149000,4487000,60,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,10765000,<NULL>,<NULL>,446323000
KEYCORP                                                                                                                 ,20131231,1068025,92991716,347011,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,160910,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,134368815,5147398,622928,0,99683,0,0,0,107579,0,13898,49416,125420,<NULL>,6166322,282623,238025,50000,3750,63851,86180,<NULL>,724429,282019,4411423,2860876,0,6272633,11953521,26156038,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,11288,983712092,82230813,855147,4523421,5378568,1705381,59855966,61561347,734901,<NULL>,12346380,13081281,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,4755819,2764842,2218000,558000,558000,27000,27000,82672197,41743959,4066949,65280,4361591,11988775,531841,357955,1218550,913808,7569615,23,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,375566,<NULL>,<NULL>,1643516
HUNTINGTON BANCSHARES INCORPORATED                                                                                      ,20131231,1068191,59476344,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,318364,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,64612414,933096,177086,285874,41271,84136,0,350,992,0,7040,1532,19389,<NULL>,1550416,1123,210350,0,0,12998,89026,<NULL>,313497,65000,1283977,1100860,0,4735276,8018797,15666103,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,515454,302706092,79935242,58472,883112,941584,25437,7554802,7580239,35572,<NULL>,6987762,7023334,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,3836667,883774,834000,316000,316000,0,0,53377021,28309568,2703408,-6089,2859467,8026853,0,0,321044,196296,0,4,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,462193,<NULL>,<NULL>,2909136
"PNC FINANCIAL SERVICES GROUP, INC., THE                                                                                 ",20131231,1069778,320596232,1552694,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,2769798,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,425387038,5999000,2821000,671000,414000,61000,0,0,6692000,332000,296000,489000,592000,<NULL>,17703000,2109000,9862000,0,308000,373000,483000,<NULL>,13135000,0,12603000,8243699,4997403,420000,41328000,67592500,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,11211000,2004252000,161000000,451000,9593000,10044000,51663000,200316000,251979000,3072000,<NULL>,48607729,51679729,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,11686509,10635103,4895000,4621000,2640000,8000,1989000,276499144,135385000,15904441,178000,16764175,41611000,3898000,3910000,5028000,3668000,116821000,9,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,398,<NULL>,<NULL>,25920729
FIFTH THIRD BANCORP                                                                                                     ,20131231,1070345,129685180,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,1202854,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,174422686,2857142,287170,0,209256,27391,0,250,426197,0,0,13568,277187,<NULL>,4097911,2372841,6225382,0,0,6909,337515,<NULL>,8942647,1093001,4532696,3836238,0,10101482,17987080,37550497,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,6295,1186752164,240024096,0,5427541,5427541,4006897,59879662,63886559,342598,<NULL>,17845747,18188345,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,206625,488519,4407000,2592000,2241000,211000,562000,115059100,56033440,6759203,12309,7171081,17987080,0,945526,1535083,744286,39746,6,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,6808392
BANK OF AMERICA CORPORATION                                                                                             ,20131231,1073757,2104995000,201199000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,1328787000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,2695636963,53178000,35863882,1124235,4112023,690467,758968,4463912,17889159,10222103,44437332,49573896,96532800,<NULL>,293938659,22634982,25656629,0,85967441,32009946,53657540,<NULL>,219926538,26378083,184739352,38185000,184000,63957982,164914451,488785261,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,1017343526,83704983990,136190000,57737850,332529550,390267400,30505294818,24381937234,54887232052,291478664,<NULL>,238253000,529731664,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,55150000,31779000,387493000,273650000,104321000,76393000,245722000,1872235000,776608000,87300000,12330000,100055000,164914000,987753235,1076342797,1061831701,1029750656,3737,49,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,10426393,<NULL>,<NULL>,203137926
BB&T CORPORATION                                                                                                        ,20131231,1074156,183009992,124048,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,212387101,580974,545072,10,3875,117,0,1391,261474,294,2257,2285,75213,<NULL>,1470983,306461,9979212,0,3580,4068,23315,<NULL>,10316636,1932575,9795686,3426679,198270,24983821,26371050,68851721,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,243538,972398497,34913368,675142,4835891,5511033,12968117,46307784,59275901,380502,<NULL>,22104164,22484666,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,18100496,2201678,634000,1384000,1000,26000,1409000,160201167,75981500,9477071,30244,10367691,26371050,124048,135162,864170,970348,0,4,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,2143640,<NULL>,<NULL>,4024306
"BBVA COMPASS BANCSHARES, INC.                                                                                           ",20131231,1078529,71965476,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,100957343,1287855,2006997,225629,0,0,0,0,40283,0,0,0,13926,<NULL>,3574690,2332116,0,0,0,4997,44226,<NULL>,2381339,0,0,823798,0,11967031,0,12790829,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,86384,198758140,3069315,7475106,72479708,79954814,1134881,16923899,18058780,28034,<NULL>,7800958,7828992,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,1519196,32663,860000,1980000,116000,0,1864000,60477717,33198785,2866100,1892,3146867,11487759,0,0,424280,289127,265000,2,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,1088734
STATE STREET CORPORATION                                                                                                ,20131231,1111435,243028090,6229894,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,345428170,12922750,2034140,2483079,1560670,342212,0,901375,265727,0,887410,5191249,4705794,<NULL>,30393031,8010000,174257772,753136,17240699,6022638,2978842,<NULL>,209263087,0,5450000,3461380,1819120,0,31677662,42822162,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,1205394907,59122189977,20411068000,0,0,0,11050000,1130038650,1141088650,627361,<NULL>,99390200,100017561,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,17740109,7563618,47446989,88014000,358000,37255000,124911000,222647367,0,9977246,4299000,10416409,31677662,74380092,73753823,11942586,11792595,0,30,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,414000,<NULL>,<NULL>,53759419
U.S. BANCORP                                                                                                            ,20131231,1119794,364021000,87000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,2155000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,524636200,8101000,2285000,75000,0,641000,0,0,211000,0,25000,91000,31000,<NULL>,11460000,2586000,18943000,50000,0,126000,182000,<NULL>,21887000,5240000,9391000,5335000,19400000,21311000,73720000,138882000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,26047000,6918228000,959466000,0,17199000,17199000,8300000,97700000,106000000,712000,<NULL>,40935000,41647000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,38920000,4042000,3297000,53712000,25855000,5902000,33759000,322214000,121984000,19412000,545000,21093000,74091000,2810000,2785000,1349000,1598000,0,16,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,4485000,<NULL>,<NULL>,12961000
