Account,Date,kWh,month,day,year,hour,Day of Week,Weekday,Peakhour,Temperature,Dew_PointF,Humidity,Sea_Level_PressureIn,VisibilityMPH,Wind_Direction,Wind_SpeedMPH,Conditions,WindDirDegrees,
26435791004,1/1/2014,81.285,1,1,2014,0,3,1,0,42,5,46,30.2,10,WNW,8.1,Clear,290,
26435791004,1/1/2014,81.705,1,1,2014,,3,1,0,44,3.9,46,30.23,10,WNW,11.5,Partly Cloudy,290,
26908650026,1/1/2014,121.369999,1,1,2014,0,4,1,0,,,,,,,,,,3160.529936
26908650026,1/1/2014,132.739997,1,1,2014,1,4,1,0,,,,,,,,,,4685.759894
26908650026,1/1/2014,129.569997,1,1,2014,2,4,1,0,,,,,,,,,,4229.599909
26908650026,1/1/2014,125.709998,1,1,2014,3,4,1,0,,,,,,,,,,4816.999882
26908650026,1/1/2014,128.659998,1,1,2014,4,4,1,0,,,,,,,,,,4840.319883
26908650026,1/1/2014,132.769997,1,1,2014,5,4,1,0,,,,,,,,,,4899.94988
26908650026,1/1/2014,134.699996,1,1,2014,6,4,1,0,,,,,,,,,,4955.179896
26908650026,1/1/2014,124.059998,1,1,2014,7,4,1,1,,,,,,,,,,5108.129878
26908650026,1/1/2014,119.839997,1,1,2014,8,4,1,1,,,,,,,,,,5131.659879
26908650026,1/1/2014,122.399998,1,1,2014,9,4,1,1,,,,,,,,,,4861.359885
26908650026,1/1/2014,129.059998,1,1,2014,10,4,1,1,,,,,,,,,,3814.779915
26908650026,1/1/2014,126.579996,1,1,2014,11,4,1,1,,,,,,,,,,3267.289936
26908650026,1/1/2014,120.769997,1,1,2014,12,4,1,1,,,,,,,,,,4694.759895
26908650026,1/1/2014,124.939997,1,1,2014,13,4,1,1,,,,,,,,,,4676.399905
26908650026,1/1/2014,128.149997,1,1,2014,14,4,1,1,,,,,,,,,,5243.899881
26908650026,1/1/2014,142.549998,1,1,2014,15,4,1,1,,,,,,,,,,4928.399901
26908650026,1/1/2014,139.729999,1,1,2014,16,4,1,1,,,,,,,,,,4818.609893
26908650026,1/1/2014,139.099995,1,1,2014,17,4,1,1,,,,,,,,,,3814.779915
26908650026,1/1/2014,142.009998,1,1,2014,18,4,1,1,,,,,,,,,,3267.289936
26908650026,1/1/2014,147.539998,1,1,2014,19,4,1,1,,,,,,,,,,4694.759895
26908650026,1/1/2014,147.689998,1,1,2014,20,4,1,0,,,,,,,,,,4768.789898
26908650026,1/1/2014,135.899996,1,1,2014,21,4,1,0,,,,,,,,,,4473.549904
26908650026,1/1/2014,129.619999,1,1,2014,22,4,1,0,,,,,,,,,,5222.549886
26908650026,1/1/2014,135.069995,1,1,2014,23,4,1,0,,,,,,,,,,5755.349879
26908650026,1/2/2014,111.039999,1,2,2014,0,5,1,0,,,,,,,,,,3994.33991
26908650026,1/2/2014,125.259996,1,2,2014,1,5,1,0,,,,,,,,,,3331.159924
26908650026,1/2/2014,128.209999,1,2,2014,2,5,1,0,,,,,,,,,,5388.739871
26908650026,1/2/2014,128.459997,1,2,2014,3,5,1,0,,,,,,,,,,5465.629883
26908650026,1/2/2014,217.079996,1,2,2014,4,5,1,0,,,,,,,,,,5419.999889
26908650026,1/2/2014,224.219997,1,2,2014,5,5,1,0,,,,,,,,,,5524.169867
26908650026,1/2/2014,229.159993,1,2,2014,6,5,1,0,,,,,,,,,,5077.749895
26908650026,1/2/2014,238.419992,1,2,2014,7,5,1,1,,,,,,,,,,3972.489908
26908650026,1/2/2014,247.449992,1,2,2014,8,5,1,1,,,,,,,,,,3272.039933
26908650026,1/2/2014,248.829992,1,2,2014,9,5,1,1,,,,,,,,,,5269.089889
26908650026,1/2/2014,250.289997,1,2,2014,10,5,1,1,,,,,,,,,,5181.639896
26908650026,1/2/2014,247.669997,1,2,2014,11,5,1,1,,,,,,,,,,4531.839894
26908650026,1/2/2014,244.429993,1,2,2014,12,5,1,1,,,,,,,,,,5155.649898
26908650026,1/2/2014,245.339998,1,2,2014,13,5,1,1,,,,,,,,,,4996.969888
26908650026,1/2/2014,241.379992,1,2,2014,14,5,1,1,,,,,,,,,,3808.899921
26908650026,1/2/2014,244.669996,1,2,2014,15,5,1,1,,,,,,,,,,3019.03995
26908650026,1/2/2014,253.759992,1,2,2014,16,5,1,1,,,,,,,,,,4518.859903
26908650026,1/2/2014,201.919994,1,2,2014,17,5,1,1,,,,,,,,,,4547.159901
26908650026,1/2/2014,150.219994,1,2,2014,18,5,1,1,,,,,,,,,,4634.069897
26908650026,1/2/2014,153.509997,1,2,2014,19,5,1,1,,,,,,,,,,4667.759901
26908650026,1/2/2014,157.059996,1,2,2014,20,5,1,0,,,,,,,,,,4530.389895
26908650026,1/2/2014,134.609999,1,2,2014,21,5,1,0,,,,,,,,,,3763.369919
26908650026,1/2/2014,128.249998,1,2,2014,22,5,1,0,,,,,,,,,,3366.139931
26908650026,1/2/2014,134.519998,1,2,2014,23,5,1,0,,,,,,,,,,4572.559903
26908650026,1/3/2014,114.439998,1,3,2014,0,6,0,0,,,,,,,,,,4547.159901
26908650026,1/3/2014,125.649998,1,3,2014,1,6,0,0,,,,,,,,,,4645.289897
26908650026,1/3/2014,123.879998,1,3,2014,2,6,0,0,,,,,,,,,,4419.359899
26908650026,1/3/2014,123.579999,1,3,2014,3,6,0,0,,,,,,,,,,4523.969907
26908650026,1/3/2014,123.509999,1,3,2014,4,6,0,0,,,,,,,,,,3410.299943
26908650026,1/3/2014,122.749997,1,3,2014,5,6,0,0,,,,,,,,,,2957.519941
26908650026,1/3/2014,197.899992,1,3,2014,6,6,0,0,,,,,,,,,,4703.79991
26908650026,1/3/2014,226.309997,1,3,2014,7,6,0,1,,,,,,,,,,4775.139919
26908650026,1/3/2014,227.429996,1,3,2014,8,6,0,1,,,,,,,,,,5044.35989
26908650026,1/3/2014,226.369991,1,3,2014,9,6,0,1,,,,,,,,,,4963.679894
26908650026,1/3/2014,226.019997,1,3,2014,10,6,0,1,,,,,,,,,,4945.689903
26908650026,1/3/2014,224.139996,1,3,2014,11,6,0,1,,,,,,,,,,3758.719916
26908650026,1/3/2014,224.359993,1,3,2014,12,6,0,1,,,,,,,,,,3040.969933
26908650026,1/3/2014,224.239995,1,3,2014,13,6,0,1,,,,,,,,,,5061.289891
26908650026,1/3/2014,223.069993,1,3,2014,14,6,0,1,,,,,,,,,,4974.649883
26908650026,1/3/2014,224.729994,1,3,2014,15,6,0,1,,,,,,,,,,5024.629893
26908650026,1/3/2014,223.619995,1,3,2014,16,6,0,1,,,,,,,,,,4997.739898
26908650026,1/3/2014,198.059997,1,3,2014,17,6,0,1,,,,,,,,,,4919.269897
26908650026,1/3/2014,159.659997,1,3,2014,18,6,0,1,,,,,,,,,,3649.229936
26908650026,1/3/2014,151.059999,1,3,2014,19,6,0,1,,,,,,,,,,2852.369942
26908650026,1/3/2014,154.129999,1,3,2014,20,6,0,0,,,,,,,,,,4907.339903
26908650026,1/3/2014,131.189997,1,3,2014,21,6,0,0,,,,,,,,,,4782.729898
26908650026,1/3/2014,121.759995,1,3,2014,22,6,0,0,,,,,,,,,,4701.869913
26908650026,1/3/2014,131.739997,1,3,2014,23,6,0,0,,,,,,,,,,4789.459894
26908650026,1/4/2014,110.999996,1,4,2014,0,0,0,0,,,,,,,,,,4737.209894
26908650026,1/4/2014,122.119995,1,4,2014,1,0,0,0,,,,,,,,,,3729.439921
26908650026,1/4/2014,123.339995,1,4,2014,2,0,0,0,,,,,,,,,,3145.489928
26908650026,1/4/2014,123.369998,1,4,2014,3,0,0,0,,,,,,,,,,4817.239909
26908650026,1/4/2014,134.639994,1,4,2014,4,0,0,0,,,,,,,,,,4750.709905
26908650026,1/4/2014,211.609995,1,4,2014,5,0,0,0,,,,,,,,,,4701.869913
26908650026,1/4/2014,215.919995,1,4,2014,6,0,0,0,,,,,,,,,,4797.829889
26908650026,1/4/2014,215.389995,1,4,2014,7,0,0,1,,,,,,,,,,4867.319907
26908650026,1/4/2014,214.269994,1,4,2014,8,0,0,1,,,,,,,,,,3685.419926
26908650026,1/4/2014,224.019992,1,4,2014,9,0,0,1,,,,,,,,,,2932.269954
26908650026,1/4/2014,227.309997,1,4,2014,10,0,0,1,,,,,,,,,,5009.8399
26908650026,1/4/2014,226.649994,1,4,2014,11,0,0,1,,,,,,,,,,5029.3099
26908650026,1/4/2014,225.019997,1,4,2014,12,0,0,1,,,,,,,,,,4955.809906
26908650026,1/4/2014,226.839996,1,4,2014,13,0,0,1,,,,,,,,,,4983.94989
26908650026,1/4/2014,227.869995,1,4,2014,14,0,0,1,,,,,,,,,,4827.739898
26908650026,1/4/2014,225.739996,1,4,2014,15,0,0,1,,,,,,,,,,3610.30992
26908650026,1/4/2014,225.629994,1,4,2014,16,0,0,1,,,,,,,,,,2874.639944
26908650026,1/4/2014,220.209993,1,4,2014,17,0,0,1,,,,,,,,,,4921.529894
26908650026,1/4/2014,217.729996,1,4,2014,18,0,0,1,,,,,,,,,,4945.109883
26908650026,1/4/2014,217.529993,1,4,2014,19,0,0,1,,,,,,,,,,4899.749911
26908650026,1/4/2014,217.369995,1,4,2014,20,0,0,0,,,,,,,,,,5010.449902
26908650026,1/4/2014,215.269993,1,4,2014,21,0,0,0,,,,,,,,,,4764.879902
26908650026,1/4/2014,215.529996,1,4,2014,22,0,0,0,,,,,,,,,,3586.97993
26908650026,1/4/2014,232.619998,1,4,2014,23,0,0,0,,,,,,,,,,2733.359945
26908650026,1/5/2014,197.449993,1,5,2014,0,1,1,0,,,,,,,,,,4721.469899
26908650026,1/5/2014,215.189994,1,5,2014,1,1,1,0,,,,,,,,,,4759.679904
26908650026,1/5/2014,215.119996,1,5,2014,2,1,1,0,,,,,,,,,,4478.259914
26908650026,1/5/2014,216.349995,1,5,2014,3,1,1,0,,,,,,,,,,4502.889892
26908650026,1/5/2014,215.619996,1,5,2014,4,1,1,0,,,,,,,,,,4452.659895
26908650026,1/5/2014,217.479994,1,5,2014,5,1,1,0,,,,,,,,,,3392.819915
26908650026,1/5/2014,216.559996,1,5,2014,6,1,1,0,,,,,,,,,,2753.529954
26908650026,1/5/2014,214.519992,1,5,2014,7,1,1,1,,,,,,,,,,4549.459909
26908650026,1/5/2014,214.859998,1,5,2014,8,1,1,1,,,,,,,,,,4495.579907
26908650026,1/5/2014,214.899996,1,5,2014,9,1,1,1,,,,,,,,,,4460.339898
26908650026,1/5/2014,213.819995,1,5,2014,10,1,1,1,,,,,,,,,,4502.889892
26908650026,1/5/2014,213.829992,1,5,2014,11,1,1,1,,,,,,,,,,4452.659895
