Account,Date,kWh,month,day,year,hour,Day of Week,Weekday,Peakhour,Temperature,Dew_PointF,Humidity,Sea_Level_PressureIn,VisibilityMPH,Wind_SpeedMPH,WindDirDegrees
26908650026,41640,121.369999,1,1,2014,0,4,1,0,23,5,46,30.2,10,8.1,290
26908650026,41640,132.739997,1,1,2014,1,4,1,0,21.9,3.9,46,30.23,10,11.5,290
26908650026,41640,129.569997,1,1,2014,2,4,1,0,21.9,3.9,46,30.25,10,12.7,240
26908650026,41640,125.709998,1,1,2014,3,4,1,0,21.9,3,44,30.27,10,11.5,250
26908650026,41640,128.659998,1,1,2014,4,4,1,0,21,3,46,30.29,10,9.2,260
26908650026,41640,132.769997,1,1,2014,5,4,1,0,21,3,46,30.3,10,11.5,270
26908650026,41640,134.699996,1,1,2014,6,4,1,0,21,3.9,48,30.32,10,10.4,250
26908650026,41640,124.059998,1,1,2014,7,4,1,1,19.9,5,52,30.35,10,10.4,230
26908650026,41640,119.839997,1,1,2014,8,4,1,1,23,6.1,48,30.37,10,10.4,260
26908650026,41640,122.399998,1,1,2014,9,4,1,1,24.1,5,44,30.39,10,16.1,300
26908650026,41640,129.059998,1,1,2014,10,4,1,1,26.1,5,41,30.35,10,12.7,280
26908650026,41640,126.579996,1,1,2014,11,4,1,1,26.1,5,41,30.34,10,13.8,260
26908650026,41640,120.769997,1,1,2014,12,4,1,1,27,5,39,30.33,10,13.8,280
26908650026,41640,124.939997,1,1,2014,13,4,1,1,28,3.9,36,30.33,10,8.1,300
26908650026,41640,128.149997,1,1,2014,14,4,1,1,27,3.9,37,30.33,10,10.4,270
26908650026,41640,142.549998,1,1,2014,15,4,1,1,27,5,39,30.35,10,10.4,290
26908650026,41640,139.729999,1,1,2014,16,4,1,1,26.1,5,41,30.35,10,6.9,340
26908650026,41640,139.099995,1,1,2014,17,4,1,1,25,5,43,30.37,10,9.2,320
26908650026,41640,142.009998,1,1,2014,18,4,1,1,24.1,6.1,46,30.37,10,4.6,10
26908650026,41640,147.539998,1,1,2014,19,4,1,1,24.1,5,44,30.38,10,6.9,360
26908650026,41640,147.689998,1,1,2014,20,4,1,0,23,5,46,30.38,10,4.6,350
26908650026,41640,135.899996,1,1,2014,21,4,1,0,21.9,7,53,30.39,10,3.5,20
26908650026,41640,129.619999,1,1,2014,22,4,1,0,23,6.1,48,30.4,10,3.5,360
26908650026,41640,135.069995,1,1,2014,23,4,1,0,23,7,50,30.38,10,6.9,20
26908650026,41641,111.039999,1,2,2014,0,5,1,0,21,10.9,65,30.36,4,6.9,20
26908650026,41641,125.259996,1,2,2014,1,5,1,0,21.2,12.2,68,30.36,2.5,8.1,20
26908650026,41641,128.209999,1,2,2014,2,5,1,0,19.4,14,80,30.36,1.8,8.1,20
26908650026,41641,128.459997,1,2,2014,3,5,1,0,19.9,15.1,81,30.36,1.8,8.1,20
26908650026,41641,217.079996,1,2,2014,4,5,1,0,19.4,15.8,86,30.35,2,9.2,20
26908650026,41641,224.219997,1,2,2014,5,5,1,0,19,14,81,30.35,2,9.2,20
26908650026,41641,229.159993,1,2,2014,6,5,1,0,19.4,14,80,30.35,1.8,9.2,10
26908650026,41641,238.419992,1,2,2014,7,5,1,1,19,14,81,30.34,1.5,9.2,10
26908650026,41641,247.449992,1,2,2014,8,5,1,1,19.4,14,80,30.32,1.8,11.5,10
26908650026,41641,248.829992,1,2,2014,9,5,1,1,19,14,81,30.32,2.5,10.4,10
26908650026,41641,250.289997,1,2,2014,10,5,1,1,19.4,14,80,30.33,3,10.4,10
26908650026,41641,247.669997,1,2,2014,11,5,1,1,19.4,14,80,30.31,2,12.7,20
26908650026,41641,244.429993,1,2,2014,12,5,1,1,19,14,81,30.31,1.8,15,10
